First_Author,Publication_Title,Publication_Year,Journal,DOI,System,Q_L.s,Velocity_m.s,Flow_Category,Decay_Method,Mesh_Size_Category,Setting,Biome,Manipulation,LULC_Category,Light_Category,Detritus_Type,Detritus_Condition,Detritus_Species,Time_Series_ID,Meas_Day,Start_Year,Start_Month,Start_Day,Temperature_C,pH,Cond_uS.cm,DOC_mg.L,Water_SRP_ug.L,Water_TP_ug.L,Water_NO3_ug.L,Water_NH4_ug.L,Water_DIN_ug.L,Water_TN_ug.L,Mass_per_remaining,Initial_Mass_g,AFDM_DM_ratio,k,Remain_Mass_Category,Tannin_per,Total_Phenolics_per,Lignin_per,Cellulose_per,Hemicellulose_per,C_per,N_per,P_per,CN_ratio,CP_ratio,NP_ratio,Ergosterol_ug.g,Component_Mass_Category,Geog_Locale,Altitude_m,Latitude,Longitude,Sample_Size,LULC_Quantified,Inverts_AddInfo,Microbes_AddInfo,CNPFluxes_AddInfo,C_method,N_method,P_method,CNP_Ratio_Type,Notes
Abril,Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation,2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,30,0.04,riffle,litter_bag,5,field,Temperate forest,NA,forest,shade,leaves,senesced,Populus nigra,1,4,2013,8,29,16,7.6,718,0.8,30,NA,6600,10,6810,NA,45.47,3.27,NA,0.053,afdm,NA,NA,NA,NA,NA,NA,NA,NA,46.72,NA,NA,NA,afdm,"Fluvia River, Catalonia, Spain",NA,42.14,2.45,3,y,y,y,y,ea,ea,NA,molar,NA
Abril,Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation,2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,30,0.04,riffle,litter_bag,5,field,Temperate forest,NA,forest,shade,leaves,senesced,Populus nigra,1,8,2013,8,29,16,7.6,718,0.8,30,NA,6600,10,6810,NA,28.59,3.27,NA,0.053,afdm,NA,NA,NA,NA,NA,NA,NA,NA,26.35,NA,NA,NA,afdm,"Fluvia River, Catalonia, Spain",NA,42.14,2.45,3,y,y,y,y,ea,ea,NA,molar,NA
Abril,Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation,2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,30,0.04,riffle,litter_bag,5,field,Temperate forest,NA,forest,shade,leaves,senesced,Populus nigra,1,11,2013,8,29,16,7.6,718,0.8,30,NA,6600,10,6810,NA,18.03,3.27,NA,0.053,afdm,NA,NA,NA,NA,NA,NA,NA,NA,18.7,NA,NA,NA,afdm,"Fluvia River, Catalonia, Spain",NA,42.14,2.45,3,y,y,y,y,ea,ea,NA,molar,NA
Abril,Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation,2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,30,0,isolated_pool,litter_bag,5,field,Temperate forest,NA,forest,shade,leaves,senesced,Populus nigra,2,0,2013,8,29,17.8,7.3,450,5.1,180,NA,900,240,1220,NA,100,3.27,NA,0.044,afdm,NA,NA,NA,NA,NA,NA,NA,NA,108.9,NA,NA,NA,afdm,"Fluvia River, Catalonia, Spain",NA,42.14,2.45,3,y,y,y,y,ea,ea,NA,molar,NA
Abril,Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation,2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,30,0,isolated_pool,litter_bag,5,field,Temperate forest,NA,forest,shade,leaves,senesced,Populus nigra,2,1,2013,8,29,17.8,7.3,450,5.1,180,NA,900,240,1220,NA,64.4,3.27,NA,0.044,afdm,NA,NA,NA,NA,NA,NA,NA,NA,67.02,NA,NA,NA,afdm,"Fluvia River, Catalonia, Spain",NA,42.14,2.45,3,y,y,y,y,ea,ea,NA,molar,NA
Abril,Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation,2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,30,0,isolated_pool,litter_bag,5,field,Temperate forest,NA,forest,shade,leaves,senesced,Populus nigra,2,4,2013,8,29,17.8,7.3,450,5.1,180,NA,900,240,1220,NA,47.14,3.27,NA,0.044,afdm,NA,NA,NA,NA,NA,NA,NA,NA,50.25,NA,NA,NA,afdm,"Fluvia River, Catalonia, Spain",NA,42.14,2.45,3,y,y,y,y,ea,ea,NA,molar,NA
Abril,Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation,2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,30,0,isolated_pool,litter_bag,5,field,Temperate forest,NA,forest,shade,leaves,senesced,Populus nigra,2,8,2013,8,29,17.8,7.3,450,5.1,180,NA,900,240,1220,NA,37.8,3.27,NA,0.044,afdm,NA,NA,NA,NA,NA,NA,NA,NA,47.56,NA,NA,NA,afdm,"Fluvia River, Catalonia, Spain",NA,42.14,2.45,3,y,y,y,y,ea,ea,NA,molar,NA
Abril,Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation,2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,30,0,isolated_pool,litter_bag,5,field,Temperate forest,NA,forest,shade,leaves,senesced,Populus nigra,2,11,2013,8,29,17.8,7.3,450,5.1,180,NA,900,240,1220,NA,33.93,3.27,NA,0.044,afdm,NA,NA,NA,NA,NA,NA,NA,NA,43.4,NA,NA,NA,afdm,"Fluvia River, Catalonia, Spain",NA,42.14,2.45,3,y,y,y,y,ea,ea,NA,molar,NA
Agoston-Szabo,"Decomposition of Willow Leaf Litter in an Oxbow Lake of the Danube River at Gemenc, Hungary",2014,Acta Zoologica Bulgarica,NA,lake,NA,NA,NA,litter_bag,1,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Salix alba,1,0,2009,6,9,22.5,7.7,431,NA,53.3,204.2,200,35.9,NA,2400,100,8,1,0.011,afdm,NA,NA,NA,NA,NA,NA,NA,NA,24.05,391.92,19.76,58.56,afdm,"Drava, National Park, Hungary",NA,46.191483,18.84895,3,n,y,y,n,ea,ea,acid_digest,molar,Inexplicably DOI not found. Corpus ID: 201692320. Rev1 agrees - no DOI
Agoston-Szabo,"Decomposition of Willow Leaf Litter in an Oxbow Lake of the Danube River at Gemenc, Hungary",2014,Acta Zoologica Bulgarica,NA,lake,NA,NA,NA,litter_bag,1,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Salix alba,1,2,2009,6,9,22.5,7.7,431,NA,53.3,204.2,200,35.9,NA,2400,81.12,8,1.042673522,0.011,afdm,NA,NA,NA,NA,NA,NA,NA,NA,21.29,644.71,30.95,118.31,afdm,"Drava, National Park, Hungary",NA,46.191483,18.84895,3,n,y,y,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Decomposition of Willow Leaf Litter in an Oxbow Lake of the Danube River at Gemenc, Hungary",2014,Acta Zoologica Bulgarica,NA,lake,NA,NA,NA,litter_bag,1,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Salix alba,1,42,2009,6,9,22.5,7.7,431,NA,53.3,204.2,200,35.9,NA,2400,38.97,8,0.930737999,0.011,afdm,NA,NA,NA,NA,NA,NA,NA,NA,15.48,466.87,32.86,241.31,afdm,"Drava, National Park, Hungary",NA,46.191483,18.84895,3,n,y,y,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Decomposition of Willow Leaf Litter in an Oxbow Lake of the Danube River at Gemenc, Hungary",2014,Acta Zoologica Bulgarica,NA,lake,NA,NA,NA,litter_bag,1,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Salix alba,1,84,2009,6,9,22.5,7.7,431,NA,53.3,204.2,200,35.9,NA,2400,33.32,8,0.935955056,0.011,afdm,NA,NA,NA,NA,NA,NA,NA,NA,17.14,638.33,37.38,208.44,afdm,"Drava, National Park, Hungary",NA,46.191483,18.84895,3,n,y,y,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Decomposition of Willow Leaf Litter in an Oxbow Lake of the Danube River at Gemenc, Hungary",2014,Acta Zoologica Bulgarica,NA,lake,NA,NA,NA,litter_bag,1,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Salix alba,1,119,2009,6,9,22.5,7.7,431,NA,53.3,204.2,200,35.9,NA,2400,28.34,8,0.934388394,0.011,afdm,NA,NA,NA,NA,NA,NA,NA,NA,18.1,551.42,31.9,222.6,afdm,"Drava, National Park, Hungary",NA,46.191483,18.84895,3,n,y,y,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Decomposition of Willow Leaf Litter in an Oxbow Lake of the Danube River at Gemenc, Hungary",2014,Acta Zoologica Bulgarica,NA,lake,NA,NA,NA,litter_bag,1,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Salix alba,1,140,2009,6,9,22.5,7.7,431,NA,53.3,204.2,200,35.9,NA,2400,30.58,8,0.90930716599999994,0.011,afdm,NA,NA,NA,NA,NA,NA,NA,NA,15.95,483.63,32.14,141.18,afdm,"Drava, National Park, Hungary",NA,46.191483,18.84895,3,n,y,y,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,NA,NA,depositional_side_channel,litter_bag,0.04,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Salix alba,1,0,2008,3,12,13.9,8.2,387.3,6.5,10.1,132.1,1800,NA,NA,2600,100,8,NA,0.0096,afdm,NA,NA,NA,NA,NA,47.57,1.975,0.124,28.1,997.9,35.5,25.26315789,afdm,"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary",NA,46.22333,18.86804,3,n,y,n,n,ea,ea,acid_digest,molar,Depositional and erosional zones of study just inside and outside of a bend of permanently flowing sidechannel of Danube river.
Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,NA,NA,depositional_side_channel,litter_bag,0.04,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Salix alba,1,2,2008,3,12,13.9,8.2,387.3,6.5,10.1,132.1,1800,NA,NA,2600,78.78024194,8,NA,0.0096,afdm,NA,NA,NA,NA,NA,NA,1.757,0.0877,NA,NA,44.28689558,63.15789474,afdm,"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary",NA,46.22333,18.86804,3,n,y,n,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,NA,NA,depositional_side_channel,litter_bag,0.04,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Salix alba,1,35,2008,3,12,13.9,8.2,387.3,6.5,10.1,132.1,1800,NA,NA,2600,65.1933651,8,NA,0.0096,afdm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,afdm,"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary",NA,46.22333,18.86804,3,n,y,n,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,NA,NA,depositional_side_channel,litter_bag,0.04,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Salix alba,1,62,2008,3,12,13.9,8.2,387.3,6.5,10.1,132.1,1800,NA,NA,2600,51.5542522,8,NA,0.0096,afdm,NA,NA,NA,NA,NA,NA,1.7,0.1736,NA,NA,21.64722696,315.7894737,afdm,"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary",NA,46.22333,18.86804,3,n,y,n,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,NA,NA,depositional_side_channel,litter_bag,1,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Salix alba,2,0,2008,3,12,13.9,8.2,387.3,6.5,10.1,132.1,1800,NA,NA,2600,100,8,NA,0.0015,afdm,NA,NA,NA,NA,NA,47.57,1.975,0.124,28.1,997.9,35.5,31.57894737,afdm,"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary",NA,46.22333,18.86804,3,n,y,n,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,NA,NA,depositional_side_channel,litter_bag,1,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Salix alba,2,2,2008,3,12,13.9,8.2,387.3,6.5,10.1,132.1,1800,NA,NA,2600,79.7204912,8,NA,0.0015,afdm,NA,NA,NA,NA,NA,NA,1.84,0.0877,NA,NA,46.37899139,50.52631579,afdm,"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary",NA,46.22333,18.86804,3,n,y,n,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,NA,NA,depositional_side_channel,litter_bag,1,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Salix alba,2,35,2008,3,12,13.9,8.2,387.3,6.5,10.1,132.1,1800,NA,NA,2600,77.38361437,8,NA,0.0015,afdm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.21052632,afdm,"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary",NA,46.22333,18.86804,3,n,y,n,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,NA,NA,depositional_side_channel,litter_bag,1,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Salix alba,2,62,2008,3,12,13.9,8.2,387.3,6.5,10.1,132.1,1800,NA,NA,2600,42.17375367,8,NA,0.0015,afdm,NA,NA,NA,NA,NA,NA,2.1,0.11,NA,NA,42.20167413,202.1052632,afdm,"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary",NA,46.22333,18.86804,3,n,y,n,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,NA,NA,depositional_side_channel,litter_bag,0.04,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Populus spphybrids,3,0,2008,3,12,13.9,8.2,387.3,6.5,10.1,132.1,1800,NA,NA,2600,100,8,NA,0.0105,afdm,NA,NA,NA,NA,NA,47.27,0.852,0.057,64.8,2168.5,33.5,70.21276596,afdm,"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary",NA,46.22333,18.86804,3,n,y,n,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,NA,NA,depositional_side_channel,litter_bag,0.04,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Populus spphybrids,3,2,2008,3,12,13.9,8.2,387.3,6.5,10.1,132.1,1800,NA,NA,2600,69.47368421,8,NA,0.0105,afdm,NA,NA,NA,NA,NA,NA,0.698,0.0378,NA,NA,40.81940715,255.6810704,afdm,"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary",NA,46.22333,18.86804,3,n,y,n,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,NA,NA,depositional_side_channel,litter_bag,0.04,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Populus spphybrids,3,35,2008,3,12,13.9,8.2,387.3,6.5,10.1,132.1,1800,NA,NA,2600,56.84210526,8,NA,0.0105,afdm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460.0679974,afdm,"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary",NA,46.22333,18.86804,3,n,y,n,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,NA,NA,depositional_side_channel,litter_bag,0.04,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Populus spphybrids,3,62,2008,3,12,13.9,8.2,387.3,6.5,10.1,132.1,1800,NA,NA,2600,46.01503759,8,NA,0.0105,afdm,NA,NA,NA,NA,NA,NA,0.991,0.1425,NA,NA,15.37311444,529.5569204,afdm,"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary",NA,46.22333,18.86804,3,n,y,n,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,NA,NA,depositional_side_channel,litter_bag,1,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Populus spphybrids,4,0,2008,3,12,13.9,8.2,387.3,6.5,10.1,132.1,1800,NA,NA,2600,100,8,NA,0.01,afdm,NA,NA,NA,NA,NA,47.27,0.852,0.057,64.8,2168.5,33.5,63.86268919,afdm,"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary",NA,46.22333,18.86804,3,n,y,n,n,ea,ea,acid_digest,molar,NA
Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",2016,Hydrobiologia,10.1007/s10750-015-2616-3,river,NA,NA,depositional_side_channel,litter_bag,1,field,Woodland/shrubland,NA,NA,NA,leaves,senesced,Populus spphybrids,4,2,2008,3,12,13.9,8.2,387.3,6.5,10.1,132.1,1800,NA,NA,2600,75.78947368,8,NA,0.01,afdm,NA,NA,NA,NA,NA,NA,0.661,0.0324,NA,NA,45.0982323,108.8725598,afdm,"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary",NA,46.22333,18.86804,3,n,y,n,n,ea,ea,acid_digest,molar,NA
